 阿杜 他一定很爱你
 林俊杰 江南
 刘若英 后来
 金莎林俊杰 被风吹过的夏天
 张学友 吻别
 周传雄 黄昏
 蔡依林周杰伦 布拉格广场
 潘玮柏弦子 不得不爱
 孙燕姿 遇见
 郑智化 游戏人间
 萧亚轩 最熟悉的陌生人
 BY2 爱丫爱丫
 卢巧音王力宏 好心分手
 Twins 莫斯科没有眼泪
 FIR飞儿乐团 千年之恋
 刘思涵 走在冷风中
 刘大壮 天使的翅膀
 光良 第一次
 F4 流星雨
 杨丞琳 左边
 周深 漂洋过海来看你
 陈柏宇 你瞒我瞒
 杨丞琳 暧昧
 张雨生 我的未来不是梦
 萧亚轩 爱的主打歌
 许美静 城里的月光
 许巍 曾经的你
 张学友 饿狼传说
 陈百强 一生何求
 薛之谦 认真的雪
 张芸京 偏爱
 黎明 今夜你会不会来
 陶喆 就是爱你
 张国荣 当爱已成往事
 黄小琥 没那么简单
 郑中基 无赖
 李圣杰 手放开
 彭芳 让泪化作相思雨
 阿木 有一种爱叫做放手
 孟庭苇 谁的眼泪在飞
 陈慧娴 千千阕歌
 邓丽君 在水一方
 费玉清 一剪梅
 许美静 放你在心里
 辛晓琪 领悟
 李玖哲 想太多
 孙楠韩红 美丽的神话
 黄安 新鸳鸯蝴蝶梦
 孟庭苇 风中有朵雨做的云
 陈百强 偏偏喜欢你
 李翊君 风中的承诺
 张国荣 怪你过份美丽
 零点乐队 爱不爱我
 邓丽君 漫步人生路hires
 蔡依林 倒带
 蔡健雅 空白格
 陈奕迅 淘汰
 黄义达 那女孩对我说
 张学友 一路上有你
 萧煌奇 你是我的眼
 杨丞琳 雨爱
 周华健 花心
 何洁 你是我的风景
 郑伊健 友情岁月
 陶喆 爱，很简单
 陈坤 月半弯
 徐誉滕 等一分钟
 萧亚轩 表白
 谢霆锋 因为爱所以爱
 林俊杰 一千年以后
 那英 征服
 徐怀钰 分飞
 张国荣 共同渡过
 刘若英 很爱很爱你
 汪苏泷周洁琼 为你写诗
 牛奶咖啡 越长大越孤单
 BEYOND 不再犹豫
 许美静 阳光总在风雨后
 李翊君 雨蝶
 叶蒨文 潇洒走一回
 裘海正 爱我的人和我爱的人
 陈慧琳 记事本
 江美琪 亲爱的你怎么不在身边
 王菲 匆匆那年
 林志颖 我不后悔
 孙燕姿 开始懂了
 林俊杰 我还想她
 GEM邓紫棋 泡沫
 刘惜君 我很快乐
 伍佰 挪威的森林
 张柏芝 星语心愿
 张震岳蔡健雅 思念是一种病
 潘玮柏张韶涵 快乐崇拜
 张国荣 沉默是金
 GEM邓紫棋 回忆的沙漏
 蔡依林 说爱你
 张震岳 爱我别走
 梅艳芳 女人花hires
 张宇 雨一直下
 王菲 红豆
 苏永康 爱一个人好难
 张国荣 玻璃之情
 刘若英 当爱在靠近
 张栋梁 当你孤单你会想起谁
 伍佰_ChinaBlue 梦醒时分
 张学友高慧君 你最珍贵
 A Lin 给我一个理由忘记
 梁静茹 宁夏
 张学友 你好毒
 欧得洋 孤单北半球
 林俊杰 豆浆油条
 李圣杰 痴心绝对
 Sanves 范玮琪 一个像夏天一个像秋天
 梁咏琪 胆小鬼
 林志炫 蒙娜丽莎的眼泪
 张宇 曲终人散
 BEYOND 真的爱你
 梁朝伟李宇春 十年
 吕方 朋友别哭
 梁静茹 勇气
 林俊杰蔡卓妍 小酒窝
 Twins 下一站天后
 游鸿明 白色恋人
 林俊杰 第几个100天
 刘德华 来生缘
 张学友 心如刀割
 芥末很甜丶 如果爱下去
 周慧敏 痴心换情深
 张信哲 爱如潮水
 张学友汤宝如 相思风雨中
 周传雄 我的心太乱
 王心凌 我会好好的
 胡歌 忘记时间
 梁静茹 分手快乐
 草蜢 失恋阵线联盟
 梅艳芳 一生爱你千百回hires
 王力宏 你不知道的事
 孟庭苇 没有情人的情人节
 王蓉 爸爸妈妈
 卓文萱曹格 梁山伯与茱丽叶
 林志炫 你的样子
 林志颖 十七岁的雨季
 一千零一个愿望
 潘美辰 我想有个家
 王杰 是否我真的一无所有
 汪苏泷 不分手的恋爱
 林忆莲 至少还有你
 梁静茹 可惜不是你
 CoCo李玟 想你的365天
 林俊杰 背对背拥抱
 邓丽君 甜蜜蜜
 离人 林志炫
