漫步人生路 邓丽君
17岁 刘德华
爱的故事上集 孙耀威
张国荣 沉默是金
Beyond 海阔天空
容易受伤的女人 王菲
难念的经 周华健
韦伦 换到千般恨
无赖 郑中基
夕阳之歌 梅艳芳
必杀技 古巨基
陈慧娴 千千阙歌
处处吻 杨千嬅
偏偏喜欢你 陈百强
初恋情人 刘小慧
陈奕迅 富士山下
当年情 张国荣
都是你的错 陈慧琳&郑中基
堆积情感 邝美云
风的季节 Soler
敢爱敢做 林子祥
古巨基 必杀技
广东爱情故事 广东雨神
广东雨神 广东爱情故事
红日 李克勤
讲不出再见 谭咏麟
今夜你会不会来 黎明
林忆莲 分分钟需要你
林子祥 敢爱敢做
刘德华 暗里着迷
卢巧音&王力宏 好心分手
每一步 徐小凤
男儿当自强 林子祥
难得有情人 关淑怡
飘雪 陈慧娴
祇想一生跟你走 张学友
倩女幽魂 张国荣
情感的禁区 刘德华
情人知己 叶蒨文
让一切随风 钟镇涛
人生何处不相逢 陈慧娴
傻女 陈慧娴
上海滩 叶丽仪
谁明浪子心 王杰
水中花 谭咏麟
谭咏麟 爱在深秋
汪明荃 万水千山总是情
王杰 不浪漫罪名
王杰 谁明浪子心
忘情冷雨夜 张学友
我恨我痴心 刘德华
喜欢你 Beyond
喜帖街 谢安琪
下一站天后 Twins
现代爱情故事 张智霖&许秋怡
相依为命 陈小春
笑看风云 郑少秋
许冠杰 阿郎恋曲
许冠杰 沧海一声笑
野孩子 杨千嬅
一起走过的日子 刘德华
一人有一个梦想 黎瑞恩
一生何求 陈百强
雨中的恋人们 黄凯芹
月半小夜曲 李克勤
张国荣 当年情
张国荣 风继续吹
张卫健 真真假假
张学友 饿狼传说
张学友 旧情绵绵
张学友 情系半生
真的爱着你(明慧版) 明慧
郑欣宜 上心
最爱 周慧敏
最佳损友 陈奕迅
陈柏宇 你瞒我瞒
草蜢 失恋
蔡国权 顺流逆流
爱与痛的边缘 王菲
阿梨粤 晚风心里吹
春娇与志明 街道办GDC&欧阳耀莹
旧情绵绵 张学友
梁朝伟&刘德华 无间道
刘小慧 加减乘除
七友 梁汉文
刘德华 来生缘
吕方 流浪花
吕方 爱得真爱得深
情人 Beyond
一生不变 李克勤
影视原声 天若有情
叶蒨文&林子祥 乱世桃花
谢安琪 钟无艳
张敬轩 酷爱
叶蒨文 秋去秋来
叶蒨文 情人知己
陈奕迅 单车
陈奕迅 浮夸
草蜢 半点心
